ID,Week,PD1,PD2,PD3,PD4
ER17_1,1,"(A,A)","(B,V)","(A,A)","(B,V)"
ER17_2,1,"(B,A)","(A,V)","(B,A)","(A,V)"
ER17_3,1,"(A,V)","(B,A)","(A,V)","(B,A)"
ER17_4,1,"(B,V)","(A,A)","(B,V)","(A,A)"
ER17_5,1,"(A,A)","(B,V)","(A,A)","(B,V)"
ER17_6,1,"(B,A)","(A,V)","(B,A)","(A,V)"
ER17_7,1,"(A,V)","(B,A)","(A,V)","(B,A)"
ER17_8,1,"(B,V)","(A,A)","(B,V)","(A,A)"
ER17_9,1,"(A,A)","(B,V)","(A,A)","(B,V)"
ER17_10,1,"(B,A)","(A,V)","(B,A)","(A,V)"
ER17_11,1,"(A,V)","(B,A)","(A,V)","(B,A)"
ER17_12,1,"(B,V)","(A,A)","(B,V)","(A,A)"
