ID,Week,PD1,PD2,PD3,PD4
ER17_1,1,"(A,VFX_3)","(B,V)","(A,VFX_3)","(B,V)"
ER17_2,1,"(B,VFX_3)","(A,V)","(B,VFX_3)","(A,V)"
ER17_3,1,"(A,V)","(B,VFX_6)","(A,V)","(B,VFX_6)"
ER17_4,1,"(B,V)","(A,VFX_6)","(B,V)","(A,VFX_6)"
ER17_5,1,"(A,VFX_0)","(B,V)","(A,VFX_0)","(B,V)"
ER17_6,1,"(B,VFX_0)","(A,V)","(B,VFX_0)","(A,V)"
ER17_7,1,"(A,V)","(B,VFX_3)","(A,V)","(B,VFX_3)"
ER17_8,1,"(B,V)","(A,VFX_3)","(B,V)","(A,VFX_3)"
ER17_9,1,"(A,VFX_6)","(B,V)","(A,VFX_6)","(B,V)"
ER17_10,1,"(B,VFX_6)","(A,V)","(B,VFX_6)","(A,V)"
ER17_11,1,"(A,V)","(B,VFX_0)","(A,V)","(B,VFX_0)"
ER17_12,1,"(B,V)","(A,VFX_0)","(B,V)","(A,VFX_0)"
ER17_1,2,"(A,V)","(B,VFX_6)","(A,V)","(B,VFX_6)"
ER17_2,2,"(B,V)","(A,VFX_6)","(B,V)","(A,VFX_6)"
ER17_3,2,"(A,VFX_0)","(B,V)","(A,VFX_0)","(B,V)"
ER17_4,2,"(B,VFX_0)","(A,V)","(B,VFX_0)","(A,V)"
ER17_5,2,"(A,V)","(B,VFX_3)","(A,V)","(B,VFX_3)"
ER17_6,2,"(B,V)","(A,VFX_3)","(B,V)","(A,VFX_3)"
ER17_7,2,"(A,VFX_6)","(B,V)","(A,VFX_6)","(B,V)"
ER17_8,2,"(B,VFX_6)","(A,V)","(B,VFX_6)","(A,V)"
ER17_9,2,"(A,V)","(B,VFX_0)","(A,V)","(B,VFX_0)"
ER17_10,2,"(B,V)","(A,VFX_0)","(B,V)","(A,VFX_0)"
ER17_11,2,"(A,VFX_3)","(B,V)","(A,VFX_3)","(B,V)"
ER17_12,2,"(B,VFX_3)","(A,V)","(B,VFX_3)","(A,V)"
ER17_1,3,"(A,VFX_0)","(B,V)","(A,VFX_0)","(B,V)"
ER17_2,3,"(B,VFX_0)","(A,V)","(B,VFX_0)","(A,V)"
ER17_3,3,"(A,V)","(B,VFX_3)","(A,V)","(B,VFX_3)"
ER17_4,3,"(B,V)","(A,VFX_3)","(B,V)","(A,VFX_3)"
ER17_5,3,"(A,VFX_6)","(B,V)","(A,VFX_6)","(B,V)"
ER17_6,3,"(B,VFX_6)","(A,V)","(B,VFX_6)","(A,V)"
ER17_7,3,"(A,V)","(B,VFX_0)","(A,V)","(B,VFX_0)"
ER17_8,3,"(B,V)","(A,VFX_0)","(B,V)","(A,VFX_0)"
ER17_9,3,"(A,VFX_3)","(B,V)","(A,VFX_3)","(B,V)"
ER17_10,3,"(B,VFX_3)","(A,V)","(B,VFX_3)","(A,V)"
ER17_11,3,"(A,V)","(B,VFX_6)","(A,V)","(B,VFX_6)"
ER17_12,3,"(B,V)","(A,VFX_6)","(B,V)","(A,VFX_6)"
