ID,Week,PD1,PD2,PD3,PD4
SS2_1,1,"(A,1)","(B,2)","(A,1)","(B,2)"
SS2_2,1,"(B,1)","(A,2)","(B,1)","(A,2)"
SS2_3,1,"(B,2)","(A,1)","(B,2)","(A,1)"
SS2_4,1,"(B,2)","(A,1)","(B,2)","(A,1)"
SS2_5,1,"(A,1)","(B,2)","(A,1)","(B,2)"
SS2_6,1,"(A,1)","(B,2)","(A,1)","(B,2)"
SS2_7,1,"(B,2)","(A,1)","(B,2)","(A,1)"
SS2_8,1,"(B,2)","(A,1)","(B,2)","(A,1)"
SS2_9,1,"(A,1)","(B,2)","(A,1)","(B,2)"
SS2_10,1,"(A,1)","(B,2)","(A,1)","(B,2)"
SS2_11,1,"(B,2)","(A,1)","(B,2)","(A,1)"
SS2_12,1,"(B,2)","(A,1)","(B,2)","(A,1)"
SS2_13,1,"(A,1)","(B,2)","(A,1)","(B,2)"
SS2_14,1,"(A,1)","(B,2)","(A,1)","(B,2)"
SS2_15,1,"(B,2)","(A,1)","(B,2)","(A,1)"
SS2_16,1,"(B,2)","(A,1)","(B,2)","(A,1)"
