ID,Week,Day,Choice
SS2_1,1,PD1,1
SS2_1,1,PD1,1
SS2_1,1,PD1,0
SS2_1,1,PD1,1
SS2_1,1,PD1,1
SS2_1,1,PD1,1
SS2_1,1,PD1,1
SS2_1,1,PD1,1
SS2_1,1,PD1,1
SS2_1,1,PD1,
SS2_1,1,PD2,1
SS2_1,1,PD2,1
SS2_1,1,PD2,1
SS2_1,1,PD2,1
SS2_1,1,PD2,1
SS2_1,1,PD2,1
SS2_1,1,PD2,
SS2_1,1,PD2,
SS2_1,1,PD2,
SS2_1,1,PD2,
SS2_1,1,PD3,1
SS2_1,1,PD3,1
SS2_1,1,PD3,1
SS2_1,1,PD3,1
SS2_1,1,PD3,1
SS2_1,1,PD3,1
SS2_1,1,PD3,
SS2_1,1,PD3,
SS2_1,1,PD3,
SS2_1,1,PD3,
SS2_1,1,PD4,1
SS2_1,1,PD4,1
SS2_1,1,PD4,1
SS2_1,1,PD4,1
SS2_1,1,PD4,1
SS2_1,1,PD4,1
SS2_1,1,PD4,
SS2_1,1,PD4,
SS2_1,1,PD4,
SS2_1,1,PD4,
SS2_2,1,PD1,1
SS2_2,1,PD1,1
SS2_2,1,PD1,1
SS2_2,1,PD1,1
SS2_2,1,PD1,1
SS2_2,1,PD1,1
SS2_2,1,PD1,
SS2_2,1,PD1,
SS2_2,1,PD1,
SS2_2,1,PD1,
SS2_2,1,PD2,1
SS2_2,1,PD2,1
SS2_2,1,PD2,1
SS2_2,1,PD2,1
SS2_2,1,PD2,1
SS2_2,1,PD2,1
SS2_2,1,PD2,
SS2_2,1,PD2,
SS2_2,1,PD2,
SS2_2,1,PD2,
SS2_2,1,PD3,1
SS2_2,1,PD3,1
SS2_2,1,PD3,1
SS2_2,1,PD3,1
SS2_2,1,PD3,1
SS2_2,1,PD3,1
SS2_2,1,PD3,
SS2_2,1,PD3,
SS2_2,1,PD3,
SS2_2,1,PD3,
SS2_2,1,PD4,1
SS2_2,1,PD4,1
SS2_2,1,PD4,1
SS2_2,1,PD4,1
SS2_2,1,PD4,1
SS2_2,1,PD4,1
SS2_2,1,PD4,
SS2_2,1,PD4,
SS2_2,1,PD4,
SS2_2,1,PD4,
SS2_3,1,PD1,1
SS2_3,1,PD1,1
SS2_3,1,PD1,1
SS2_3,1,PD1,1
SS2_3,1,PD1,1
SS2_3,1,PD1,1
SS2_3,1,PD1,
SS2_3,1,PD1,
SS2_3,1,PD1,
SS2_3,1,PD1,
SS2_3,1,PD2,1
SS2_3,1,PD2,1
SS2_3,1,PD2,1
SS2_3,1,PD2,1
SS2_3,1,PD2,1
SS2_3,1,PD2,1
SS2_3,1,PD2,
SS2_3,1,PD2,
SS2_3,1,PD2,
SS2_3,1,PD2,
SS2_3,1,PD3,1
SS2_3,1,PD3,1
SS2_3,1,PD3,1
SS2_3,1,PD3,1
SS2_3,1,PD3,1
SS2_3,1,PD3,1
SS2_3,1,PD3,
SS2_3,1,PD3,
SS2_3,1,PD3,
SS2_3,1,PD3,
SS2_3,1,PD4,1
SS2_3,1,PD4,1
SS2_3,1,PD4,1
SS2_3,1,PD4,1
SS2_3,1,PD4,1
SS2_3,1,PD4,1
SS2_3,1,PD4,
SS2_3,1,PD4,
SS2_3,1,PD4,
SS2_3,1,PD4,
SS2_4,1,PD1,1
SS2_4,1,PD1,1
SS2_4,1,PD1,1
SS2_4,1,PD1,1
SS2_4,1,PD1,1
SS2_4,1,PD1,1
SS2_4,1,PD1,
SS2_4,1,PD1,
SS2_4,1,PD1,
SS2_4,1,PD1,
SS2_4,1,PD2,1
SS2_4,1,PD2,1
SS2_4,1,PD2,1
SS2_4,1,PD2,1
SS2_4,1,PD2,1
SS2_4,1,PD2,1
SS2_4,1,PD2,
SS2_4,1,PD2,
SS2_4,1,PD2,
SS2_4,1,PD2,
SS2_4,1,PD3,1
SS2_4,1,PD3,1
SS2_4,1,PD3,1
SS2_4,1,PD3,1
SS2_4,1,PD3,1
SS2_4,1,PD3,1
SS2_4,1,PD3,
SS2_4,1,PD3,
SS2_4,1,PD3,
SS2_4,1,PD3,
SS2_4,1,PD4,1
SS2_4,1,PD4,1
SS2_4,1,PD4,1
SS2_4,1,PD4,1
SS2_4,1,PD4,1
SS2_4,1,PD4,1
SS2_4,1,PD4,
SS2_4,1,PD4,
SS2_4,1,PD4,
SS2_4,1,PD4,
SS2_5,1,PD1,1
SS2_5,1,PD1,1
SS2_5,1,PD1,1
SS2_5,1,PD1,1
SS2_5,1,PD1,1
SS2_5,1,PD1,1
SS2_5,1,PD1,
SS2_5,1,PD1,
SS2_5,1,PD1,
SS2_5,1,PD1,
SS2_5,1,PD2,1
SS2_5,1,PD2,1
SS2_5,1,PD2,1
SS2_5,1,PD2,1
SS2_5,1,PD2,1
SS2_5,1,PD2,1
SS2_5,1,PD2,
SS2_5,1,PD2,
SS2_5,1,PD2,
SS2_5,1,PD2,
SS2_5,1,PD3,1
SS2_5,1,PD3,1
SS2_5,1,PD3,1
SS2_5,1,PD3,1
SS2_5,1,PD3,1
SS2_5,1,PD3,1
SS2_5,1,PD3,
SS2_5,1,PD3,
SS2_5,1,PD3,
SS2_5,1,PD3,
SS2_5,1,PD4,1
SS2_5,1,PD4,1
SS2_5,1,PD4,1
SS2_5,1,PD4,1
SS2_5,1,PD4,1
SS2_5,1,PD4,1
SS2_5,1,PD4,
SS2_5,1,PD4,
SS2_5,1,PD4,
SS2_5,1,PD4,
SS2_6,1,PD1,1
SS2_6,1,PD1,1
SS2_6,1,PD1,1
SS2_6,1,PD1,1
SS2_6,1,PD1,1
SS2_6,1,PD1,1
SS2_6,1,PD1,
SS2_6,1,PD1,
SS2_6,1,PD1,
SS2_6,1,PD1,
SS2_6,1,PD2,1
SS2_6,1,PD2,1
SS2_6,1,PD2,1
SS2_6,1,PD2,1
SS2_6,1,PD2,1
SS2_6,1,PD2,1
SS2_6,1,PD2,
SS2_6,1,PD2,
SS2_6,1,PD2,
SS2_6,1,PD2,
SS2_6,1,PD3,1
SS2_6,1,PD3,1
SS2_6,1,PD3,1
SS2_6,1,PD3,1
SS2_6,1,PD3,1
SS2_6,1,PD3,1
SS2_6,1,PD3,
SS2_6,1,PD3,
SS2_6,1,PD3,
SS2_6,1,PD3,
SS2_6,1,PD4,1
SS2_6,1,PD4,1
SS2_6,1,PD4,1
SS2_6,1,PD4,1
SS2_6,1,PD4,1
SS2_6,1,PD4,1
SS2_6,1,PD4,
SS2_6,1,PD4,
SS2_6,1,PD4,
SS2_6,1,PD4,
SS2_7,1,PD1,1
SS2_7,1,PD1,1
SS2_7,1,PD1,1
SS2_7,1,PD1,1
SS2_7,1,PD1,1
SS2_7,1,PD1,1
SS2_7,1,PD1,
SS2_7,1,PD1,
SS2_7,1,PD1,
SS2_7,1,PD1,
SS2_7,1,PD2,1
SS2_7,1,PD2,1
SS2_7,1,PD2,1
SS2_7,1,PD2,1
SS2_7,1,PD2,1
SS2_7,1,PD2,1
SS2_7,1,PD2,
SS2_7,1,PD2,
SS2_7,1,PD2,
SS2_7,1,PD2,
SS2_7,1,PD3,1
SS2_7,1,PD3,1
SS2_7,1,PD3,1
SS2_7,1,PD3,1
SS2_7,1,PD3,1
SS2_7,1,PD3,1
SS2_7,1,PD3,
SS2_7,1,PD3,
SS2_7,1,PD3,
SS2_7,1,PD3,
SS2_7,1,PD4,1
SS2_7,1,PD4,1
SS2_7,1,PD4,1
SS2_7,1,PD4,1
SS2_7,1,PD4,1
SS2_7,1,PD4,1
SS2_7,1,PD4,
SS2_7,1,PD4,
SS2_7,1,PD4,
SS2_7,1,PD4,
SS2_8,1,PD1,1
SS2_8,1,PD1,1
SS2_8,1,PD1,1
SS2_8,1,PD1,1
SS2_8,1,PD1,1
SS2_8,1,PD1,1
SS2_8,1,PD1,
SS2_8,1,PD1,
SS2_8,1,PD1,
SS2_8,1,PD1,
SS2_8,1,PD2,1
SS2_8,1,PD2,1
SS2_8,1,PD2,1
SS2_8,1,PD2,1
SS2_8,1,PD2,1
SS2_8,1,PD2,1
SS2_8,1,PD2,
SS2_8,1,PD2,
SS2_8,1,PD2,
SS2_8,1,PD2,
SS2_8,1,PD3,1
SS2_8,1,PD3,1
SS2_8,1,PD3,1
SS2_8,1,PD3,1
SS2_8,1,PD3,1
SS2_8,1,PD3,1
SS2_8,1,PD3,
