ID,Week,PD1,PD2,PD3,PD4
SS2_1,1,"(B,V)","(A,FG_0)","(B,V)","(A,FG_0)"
SS2_2,1,"(A,FG_1)","(B,V)","(A,FG_1)","(B,V)"
SS2_3,1,"(B,V)","(A,FG_3)","(B,V)","(A,FG_3)"
SS2_4,1,"(A,FG_5)","(B,V)","(A,FG_5)","(B,V)"
SS2_5,1,"(B,FG_0)","(A,V)","(B,FG_0)","(A,V)"
SS2_6,1,"(B,V)","(A,FG_1)","(B,V)","(A,FG_1)"
SS2_7,1,"(B,FG_3)","(A,V)","(B,FG_3)","(A,V)"
SS2_8,1,"(B,V)","(A,FG_5)","(B,V)","(A,FG_5)"
SS2_9,1,"(A,V)","(B,FG_0)","(A,V)","(B,FG_0)"
SS2_10,1,"(B,FG_1)","(A,V)","(B,FG_1)","(A,V)"
SS2_11,1,"(A,V)","(B,FG_3)","(A,V)","(B,FG_3)"
SS2_12,1,"(B,FG_5)","(A,V)","(B,FG_5)","(A,V)"
SS2_13,1,"(A,FG_0)","(B,V)","(A,FG_0)","(B,V)"
SS2_14,1,"(B,V)","(A,FG_1)","(B,V)","(A,FG_1)"
SS2_15,1,"(A,FG_3)","(B,V)","(A,FG_3)","(B,V)"
SS2_16,1,"(A,V)","(B,FG_5)","(A,V)","(B,FG_5)"
SS2_1,2,"(A,FG_1)","(B,V)","(A,FG_1)","(B,V)"
SS2_2,2,"(A,V)","(B,FG_3)","(A,V)","(B,FG_3)"
SS2_3,2,"(A,FG_5)","(B,V)","(A,FG_5)","(B,V)"
SS2_4,2,"(B,FG_0)","(B,V)","(B,FG_0)","(B,V)"
SS2_5,2,"(B,FG_1)","(A,V)","(B,FG_1)","(A,V)"
SS2_6,2,"(A,FG_3)","(B,V)","(A,FG_3)","(B,V)"
SS2_7,2,"(A,V)","(B,FG_5)","(A,V)","(B,FG_5)"
SS2_8,2,"(B,V)","(A,FG_0)","(B,V)","(A,FG_0)"
SS2_9,2,"(B,V)","(A,FG_1)","(B,V)","(A,FG_1)"
SS2_10,2,"(B,V)","(A,FG_3)","(B,V)","(A,FG_3)"
SS2_11,2,"(B,FG_5)","(A,V)","(B,FG_5)","(A,V)"
SS2_12,2,"(B,FG_0)","(A,V)","(B,FG_0)","(A,V)"
SS2_13,2,"(B,FG_1)","(A,V)","(B,FG_1)","(A,V)"
SS2_14,2,"(A,FG_3)","(B,V)","(A,FG_3)","(B,V)"
SS2_15,2,"(A,V)","(B,FG_5)","(A,V)","(B,FG_5)"
SS2_16,2,"(B,V)","(A,FG_0)","(B,V)","(A,FG_0)"
SS2_1,3,"(A,V)","(B,FG_3)","(A,V)","(B,FG_3)"
SS2_2,3,"(B,FG_5)","(A,V)","(B,FG_5)","(A,V)"
SS2_3,3,"(B,V)","(A,FG_0)","(B,V)","(A,FG_0)"
SS2_4,3,"(A,FG_1)","(B,V)","(A,FG_1)","(B,V)"
SS2_5,3,"(B,FG_3)","(A,V)","(B,FG_3)","(A,V)"
SS2_6,3,"(A,V)","(B,FG_5)","(A,V)","(B,FG_5)"
SS2_7,3,"(B,FG_0)","(A,V)","(B,FG_0)","(A,V)"
SS2_8,3,"(A,V)","(B,FG_1)","(A,V)","(B,FG_1)"
SS2_9,3,"(B,V)","(A,FG_3)","(B,V)","(A,FG_3)"
SS2_10,3,"(B,FG_5)","(A,V)","(B,FG_5)","(A,V)"
SS2_11,3,"(A,V)","(B,FG_0)","(A,V)","(B,FG_0)"
SS2_12,3,"(A,FG_1)","(B,V)","(A,FG_1)","(B,V)"
SS2_13,3,"(B,FG_3)","(A,V)","(B,FG_3)","(A,V)"
SS2_14,3,"(A,V)","(B,FG_5)","(A,V)","(B,FG_5)"
SS2_15,3,"(A,FG_0)","(B,V)","(A,FG_0)","(B,V)"
SS2_16,3,"(B,V)","(A,FG_1)","(B,V)","(A,FG_1)"
SS2_1,4,"(A,FG_5)","(B,V)","(A,FG_5)","(B,V)"
SS2_2,4,"(B,V)","(A,FG_0)","(B,V)","(A,FG_0)"
SS2_3,4,"(A,V)","(B,FG_1)","(A,V)","(B,FG_1)"
SS2_4,4,"(B,V)","(A,FG_3)","(B,V)","(A,FG_3)"
SS2_5,4,"(A,V)","(B,FG_5)","(A,V)","(B,FG_5)"
SS2_6,4,"(B,FG_0)","(A,V)","(B,FG_0)","(A,V)"
SS2_7,4,"(A,V)","(B,FG_1)","(A,V)","(B,FG_1)"
SS2_8,4,"(B,FG_3)","(A,V)","(B,FG_3)","(A,V)"
SS2_9,4,"(B,FG_5)","(A,V)","(B,FG_5)","(A,V)"
SS2_10,4,"(A,V)","(B,FG_0)","(A,V)","(B,FG_0)"
SS2_11,4,"(B,FG_1)","(A,V)","(B,FG_1)","(A,V)"
SS2_12,4,"(A,V)","(B,FG_3)","(A,V)","(B,FG_3)"
SS2_13,4,"(B,V)","(A,FG_5)","(B,V)","(A,FG_5)"
SS2_14,4,"(A,FG_0)","(B,V)","(A,FG_0)","(B,V)"
SS2_15,4,"(B,V)","(A,FG_1)","(B,V)","(A,FG_1)"
SS2_16,4,"(A,FG_3)","(B,V)","(A,FG_3)","(B,V)"
