ID,Week,PD1,PD2,PD3,PD4
SS2_1,1,"(A,KET_0)","(B,V)","(A,KET_0)","(B,V)"
SS2_2,1,"(B,V)","(A,KET_3)","(B,V)","(A,KET_3)"
SS2_3,1,"(B,KET_1)","(A,V)","(B,KET_1)","(A,V)"
SS2_4,1,"(A,V)","(B,KET_0)","(A,V)","(B,KET_0)"
SS2_5,1,"(A,KET_3)","(B,V)","(A,KET_3)","(B,V)"
SS2_6,1,"(B,V)","(A,KET_1)","(B,V)","(A,KET_1)"
SS2_7,1,"(B,KET_0)","(A,V)","(B,KET_0)","(A,V)"
SS2_8,1,"(A,V)","(B,KET_3)","(A,V)","(B,KET_3)"
SS2_9,1,"(A,KET_1)","(B,V)","(A,KET_1)","(B,V)"
SS2_10,1,"(B,V)","(A,KET_0)","(B,V)","(A,KET_0)"
SS2_11,1,"(B,KET_3)","(A,V)","(B,KET_3)","(A,V)"
SS2_12,1,"(A,V)","(B,KET_1)","(A,V)","(B,KET_1)"
SS2_13,1,"(A,KET_0)","(B,V)","(A,KET_0)","(B,V)"
SS2_14,1,"(B,V)","(A,KET_3)","(B,V)","(A,KET_3)"
SS2_15,1,"(B,KET_1)","(A,V)","(B,KET_1)","(A,V)"
SS2_16,1,"(A,V)","(B,KET_0)","(A,V)","(B,KET_0)"
SS2_1,2,"(A,V)","(B,KET_1)","(A,V)","(B,KET_1)"
SS2_2,2,"(B,KET_0)","(A,V)","(B,KET_0)","(A,V)"
SS2_3,2,"(B,V)","(A,KET_3)","(B,V)","(A,KET_3)"
SS2_4,2,"(A,KET_1)","(B,V)","(A,KET_1)","(B,V)"
SS2_5,2,"(A,V)","(B,KET_0)","(A,V)","(B,KET_0)"
SS2_6,2,"(B,KET_3)","(A,V)","(B,KET_3)","(A,V)"
SS2_7,2,"(B,V)","(A,KET_1)","(B,V)","(A,KET_1)"
SS2_8,2,"(A,KET_0)","(B,V)","(A,KET_0)","(B,V)"
SS2_9,2,"(A,V)","(B,KET_3)","(A,V)","(B,KET_3)"
SS2_10,2,"(B,KET_1)","(A,V)","(B,KET_1)","(A,V)"
SS2_11,2,"(B,V)","(A,KET_0)","(B,V)","(A,KET_0)"
SS2_12,2,"(A,KET_3)","(B,V)","(A,KET_3)","(B,V)"
SS2_13,2,"(A,V)","(B,KET_1)","(A,V)","(B,KET_1)"
SS2_14,2,"(B,KET_0)","(A,V)","(B,KET_0)","(A,V)"
SS2_15,2,"(B,V)","(A,KET_3)","(B,V)","(A,KET_3)"
SS2_16,2,"(A,KET_1)","(B,V)","(A,KET_1)","(B,V)"
SS2_1,3,"(A,KET_3)","(B,V)","(A,KET_3)","(B,V)"
SS2_2,3,"(B,V)","(A,KET_1)","(B,V)","(A,KET_1)"
SS2_3,3,"(B,KET_0)","(A,V)","(B,KET_0)","(A,V)"
SS2_4,3,"(A,V)","(B,KET_3)","(A,V)","(B,KET_3)"
SS2_5,3,"(A,KET_1)","(B,V)","(A,KET_1)","(B,V)"
SS2_6,3,"(B,V)","(A,KET_0)","(B,V)","(A,KET_0)"
SS2_7,3,"(B,KET_3)","(A,V)","(B,KET_3)","(A,V)"
SS2_8,3,"(A,V)","(B,KET_1)","(A,V)","(B,KET_1)"
SS2_9,3,"(A,KET_0)","(B,V)","(A,KET_0)","(B,V)"
SS2_10,3,"(B,V)","(A,KET_3)","(B,V)","(A,KET_3)"
SS2_11,3,"(B,KET_1)","(A,V)","(B,KET_1)","(A,V)"
SS2_12,3,"(A,V)","(B,KET_0)","(A,V)","(B,KET_0)"
SS2_13,3,"(A,KET_3)","(B,V)","(A,KET_3)","(B,V)"
SS2_14,3,"(B,V)","(A,KET_1)","(B,V)","(A,KET_1)"
SS2_15,3,"(B,KET_0)","(A,V)","(B,KET_0)","(A,V)"
SS2_16,3,"(A,V)","(B,KET_3)","(A,V)","(B,KET_3)"
