ID,Week,Day,Choice
SS2_1,1,PD1,1
SS2_1,1,PD1,0
SS2_1,1,PD1,1
SS2_1,1,PD1,1
SS2_1,1,PD1,1
SS2_1,1,PD1,1
SS2_1,1,PD1,1
SS2_1,1,PD1,1
SS2_1,1,PD1,
SS2_1,1,PD1,
SS2_1,1,PD2,1
SS2_1,1,PD2,1
SS2_1,1,PD2,1
SS2_1,1,PD2,1
SS2_1,1,PD2,1
SS2_1,1,PD2,1
SS2_1,1,PD2,
SS2_1,1,PD2,
SS2_1,1,PD2,
SS2_1,1,PD2,
SS2_1,1,PD3,1
SS2_1,1,PD3,1
SS2_1,1,PD3,0
SS2_1,1,PD3,0
SS2_1,1,PD3,1
SS2_1,1,PD3,1
SS2_1,1,PD3,1
SS2_1,1,PD3,1
SS2_1,1,PD3,1
SS2_1,1,PD3,1
SS2_1,1,PD4,1
SS2_1,1,PD4,1
SS2_1,1,PD4,1
SS2_1,1,PD4,1
SS2_1,1,PD4,1
SS2_1,1,PD4,1
SS2_1,1,PD4,
SS2_1,1,PD4,
SS2_1,1,PD4,
SS2_1,1,PD4,
SS2_1,2,PD1,0
SS2_1,2,PD1,1
SS2_1,2,PD1,1
SS2_1,2,PD1,1
SS2_1,2,PD1,0
SS2_1,2,PD1,1
SS2_1,2,PD1,1
SS2_1,2,PD1,1
SS2_1,2,PD1,1
SS2_1,2,PD1,1
SS2_1,2,PD1,1
SS2_1,2,PD2,1
SS2_1,2,PD2,0
SS2_1,2,PD2,1
SS2_1,2,PD2,1
SS2_1,2,PD2,1
SS2_1,2,PD2,1
SS2_1,2,PD2,1
SS2_1,2,PD2,1
SS2_1,2,PD2,
SS2_1,2,PD3,
SS2_1,2,PD3,1
SS2_1,2,PD3,0
SS2_1,2,PD3,0
SS2_1,2,PD3,1
SS2_1,2,PD3,1
SS2_1,2,PD3,1
SS2_1,2,PD3,1
SS2_1,2,PD3,1
SS2_1,2,PD3,1
SS2_1,2,PD4,
SS2_1,2,PD4,1
SS2_1,2,PD4,1
SS2_1,2,PD4,1
SS2_1,2,PD4,1
SS2_1,2,PD4,1
SS2_1,2,PD4,1
SS2_1,2,PD4,
SS2_1,2,PD4,
SS2_1,2,PD4,
SS2_1,3,PD1,
SS2_1,3,PD1,1
SS2_1,3,PD1,1
SS2_1,3,PD1,0
SS2_1,3,PD1,1
SS2_1,3,PD1,1
SS2_1,3,PD1,1
SS2_1,3,PD1,1
SS2_1,3,PD1,1
SS2_1,3,PD1,1
SS2_1,3,PD2,
SS2_1,3,PD2,1
SS2_1,3,PD2,0
SS2_1,3,PD2,1
SS2_1,3,PD2,1
SS2_1,3,PD2,1
SS2_1,3,PD2,1
SS2_1,3,PD2,1
SS2_1,3,PD2,1
SS2_1,3,PD2,
SS2_1,3,PD3,
SS2_1,3,PD3,1
SS2_1,3,PD3,1
SS2_1,3,PD3,1
SS2_1,3,PD3,1
SS2_1,3,PD3,1
SS2_1,3,PD3,1
SS2_1,3,PD3,
SS2_1,3,PD3,
SS2_1,3,PD3,
SS2_1,3,PD4,
SS2_1,3,PD4,1
SS2_1,3,PD4,1
SS2_1,3,PD4,1
SS2_1,3,PD4,1
SS2_1,3,PD4,1
SS2_1,3,PD4,1
SS2_1,3,PD4,
SS2_1,3,PD4,
SS2_1,3,PD4,
SS2_2,1,PD1,1
SS2_2,1,PD1,0
SS2_2,1,PD1,1
SS2_2,1,PD1,1
SS2_2,1,PD1,0
SS2_2,1,PD1,1
SS2_2,1,PD1,1
SS2_2,1,PD1,1
SS2_2,1,PD1,1
SS2_2,1,PD1,1
SS2_2,1,PD1,1
SS2_2,1,PD2,1
SS2_2,1,PD2,0
SS2_2,1,PD2,1
SS2_2,1,PD2,1
SS2_2,1,PD2,1
SS2_2,1,PD2,1
SS2_2,1,PD2,1
SS2_2,1,PD2,1
SS2_2,1,PD2,
SS2_2,1,PD3,
SS2_2,1,PD3,1
SS2_2,1,PD3,0
SS2_2,1,PD3,1
SS2_2,1,PD3,1
SS2_2,1,PD3,1
SS2_2,1,PD3,1
SS2_2,1,PD3,1
SS2_2,1,PD3,1
SS2_2,1,PD3,
SS2_2,1,PD4,
SS2_2,1,PD4,0
SS2_2,1,PD4,0
SS2_2,1,PD4,1
SS2_2,1,PD4,1
SS2_2,1,PD4,1
SS2_2,1,PD4,1
SS2_2,1,PD4,1
SS2_2,1,PD4,1
SS2_2,1,PD4,
SS2_2,2,PD1,
SS2_2,2,PD1,1
SS2_2,2,PD1,0
SS2_2,2,PD1,1
SS2_2,2,PD1,1
SS2_2,2,PD1,1
SS2_2,2,PD1,1
SS2_2,2,PD1,1
SS2_2,2,PD1,1
SS2_2,2,PD1,
SS2_2,2,PD2,
SS2_2,2,PD2,0
SS2_2,2,PD2,1
SS2_2,2,PD2,1
SS2_2,2,PD2,1
SS2_2,2,PD2,1
SS2_2,2,PD2,1
SS2_2,2,PD2,1
SS2_2,2,PD2,
SS2_2,2,PD2,
SS2_2,2,PD3,
SS2_2,2,PD3,1
SS2_2,2,PD3,0
SS2_2,2,PD3,1
SS2_2,2,PD3,1
SS2_2,2,PD3,1
SS2_2,2,PD3,1
SS2_2,2,PD3,1
SS2_2,2,PD3,1
SS2_2,2,PD3,
SS2_2,2,PD4,
SS2_2,2,PD4,1
SS2_2,2,PD4,1
SS2_2,2,PD4,1
SS2_2,2,PD4,1
SS2_2,2,PD4,1
SS2_2,2,PD4,1
