ID,Week,PD1,PD2,PD3,PD4
SS2_1,1,"(A,V)","(B,VFX_3)","(A,V)","(B,VFX_3)"
SS2_2,1,"(B,VFX_3)","(A,V)","(B,VFX_3)","(A,V)"
SS2_3,1,"(B,V)","(A,VFX_3_POST)","(B,V)","(A,VFX_3_POST)"
SS2_4,1,"(A,VFX_3_POST)","(B,V)","(A,VFX_3_POST)","(B,V)"
SS2_5,1,"(A,V)","(B,VFX_3)","(A,V)","(B,VFX_3)"
SS2_6,1,"(B,VFX_3)","(A,V)","(B,VFX_3)","(A,V)"
SS2_7,1,"(B,V)","(A,VFX_3_POST)","(B,V)","(A,VFX_3_POST)"
SS2_8,1,"(A,VFX_3_POST)","(B,V)","(A,VFX_3_POST)","(B,V)"
SS2_9,1,"(B,V)","(A,VFX_3)","(B,V)","(A,VFX_3)"
SS2_10,1,"(A,VFX_3)","(B,V)","(A,VFX_3)","(B,V)"
SS2_11,1,"(A,V)","(B,VFX_3_POST)","(A,V)","(B,VFX_3_POST)"
SS2_12,1,"(B,VFX_3_POST)","(A,V)","(B,VFX_3_POST)","(A,V)"
SS2_13,1,"(B,V)","(A,VFX_3)","(B,V)","(A,VFX_3)"
SS2_14,1,"(A,VFX_3)","(B,V)","(A,VFX_3)","(B,V)"
SS2_15,1,"(A,V)","(B,VFX_3_POST)","(A,V)","(B,VFX_3_POST)"
SS2_16,1,"(B,VFX_3_POST)","(A,V)","(B,VFX_3_POST)","(A,V)"
SS2_1,2,"(A,VFX_0)","(B,V)","(A,VFX_0)","(B,V)"
SS2_2,2,"(B,V)","(A,VFX_0)","(B,V)","(A,VFX_0)"
SS2_3,2,"(B,VFX_0_POST)","(A,V)","(B,VFX_0_POST)","(A,V)"
SS2_4,2,"(A,V)","(B,VFX_0_POST)","(A,V)","(B,VFX_0_POST)"
SS2_5,2,"(A,VFX_0)","(B,V)","(A,VFX_0)","(B,V)"
SS2_6,2,"(B,V)","(A,VFX_0)","(B,V)","(A,VFX_0)"
SS2_7,2,"(B,VFX_0_POST)","(A,V)","(B,VFX_0_POST)","(A,V)"
SS2_8,2,"(A,V)","(B,VFX_0_POST)","(A,V)","(B,VFX_0_POST)"
SS2_9,2,"(B,VFX_0)","(A,V)","(B,VFX_0)","(A,V)"
SS2_10,2,"(A,V)","(B,VFX_0)","(A,V)","(B,VFX_0)"
SS2_11,2,"(A,VFX_0_POST)","(B,V)","(A,VFX_0_POST)","(B,V)"
SS2_12,2,"(B,V)","(A,VFX_0_POST)","(B,V)","(A,VFX_0_POST)"
SS2_13,2,"(B,VFX_0)","(A,V)","(B,VFX_0)","(A,V)"
SS2_14,2,"(A,V)","(B,VFX_0)","(A,V)","(B,VFX_0)"
SS2_15,2,"(A,VFX_0_POST)","(B,V)","(A,VFX_0_POST)","(B,V)"
SS2_16,2,"(B,V)","(A,VFX_0_POST)","(B,V)","(A,VFX_0_POST)"
SS2_1,3,"(A,V)","(B,VFX_0_POST)","(A,V)","(B,VFX_0_POST)"
SS2_2,3,"(B,VFX_3_POST)","(A,V)","(B,VFX_3_POST)","(A,V)"
SS2_3,3,"(B,V)","(A,VFX_0)","(B,V)","(A,VFX_0)"
SS2_4,3,"(A,VFX_3)","(B,V)","(A,VFX_3)","(B,V)"
SS2_5,3,"(A,V)","(B,VFX_0_POST)","(A,V)","(B,VFX_0_POST)"
SS2_6,3,"(B,VFX_3_POST)","(A,V)","(B,VFX_3_POST)","(A,V)"
SS2_7,3,"(B,V)","(A,VFX_0)","(B,V)","(A,VFX_0)"
SS2_8,3,"(A,VFX_3)","(B,V)","(A,VFX_3)","(B,V)"
SS2_9,3,"(B,V)","(A,VFX_0_POST)","(B,V)","(A,VFX_0_POST)"
SS2_10,3,"(A,VFX_3_POST)","(B,V)","(A,VFX_3_POST)","(B,V)"
SS2_11,3,"(A,V)","(B,VFX_0)","(A,V)","(B,VFX_0)"
SS2_12,3,"(B,VFX_3)","(A,V)","(B,VFX_3)","(A,V)"
SS2_13,3,"(B,V)","(A,VFX_0_POST)","(B,V)","(A,VFX_0_POST)"
SS2_14,3,"(A,VFX_3_POST)","(B,V)","(A,VFX_3_POST)","(B,V)"
SS2_15,3,"(A,V)","(B,VFX_0)","(A,V)","(B,VFX_0)"
SS2_16,3,"(B,VFX_3)","(A,V)","(B,VFX_3)","(A,V)"
SS2_1,4,"(A,VFX_3_POST)","(B,V)","(A,VFX_3_POST)","(B,V)"
SS2_2,4,"(B,V)","(A,VFX_0_POST)","(B,V)","(A,VFX_0_POST)"
SS2_3,4,"(B,VFX_3)","(A,V)","(B,VFX_3)","(A,V)"
SS2_4,4,"(A,V)","(B,VFX_0)","(A,V)","(B,VFX_0)"
SS2_5,4,"(A,VFX_3_POST)","(B,V)","(A,VFX_3_POST)","(B,V)"
SS2_6,4,"(B,V)","(A,VFX_0_POST)","(B,V)","(A,VFX_0_POST)"
SS2_7,4,"(B,VFX_3)","(A,V)","(B,VFX_3)","(A,V)"
SS2_8,4,"(A,V)","(B,VFX_0)","(A,V)","(B,VFX_0)"
SS2_9,4,"(B,VFX_3_POST)","(A,V)","(B,VFX_3_POST)","(A,V)"
SS2_10,4,"(A,V)","(B,VFX_0_POST)","(A,V)","(B,VFX_0_POST)"
SS2_11,4,"(A,VFX_3)","(B,V)","(A,VFX_3)","(B,V)"
SS2_12,4,"(B,V)","(A,VFX_0)","(B,V)","(A,VFX_0)"
SS2_13,4,"(B,VFX_3_POST)","(A,V)","(B,VFX_3_POST)","(A,V)"
SS2_14,4,"(A,V)","(B,VFX_0_POST)","(A,V)","(B,VFX_0_POST)"
SS2_15,4,"(A,VFX_3)","(B,V)","(A,VFX_3)","(B,V)"
SS2_16,4,"(B,V)","(A,VFX_0)","(B,V)","(A,VFX_0)"
