ID,Week,PD1,PD2,PD3,PD4
SS2_1,1,"(B,V)","(A,V)","(B,V)","(A,V)"
SS2_2,1,"(A,FG_1)","(B,V)","(A,FG_1)","(B,V)"
SS2_3,1,"(A,V)","(B,B)","(A,V)","(B,B)"
SS2_4,1,"(B,V)","(A,B)","(B,V)","(A,B)"
SS2_5,1,"(A,C)","(B,V)","(A,C)","(B,V)"
SS2_6,1,"(B,C)","(A,V)","(B,C)","(A,V)"
SS2_7,1,"(A,V)","(B,A)","(A,V)","(B,A)"
SS2_8,1,"(B,V)","(A,A)","(B,V)","(A,A)"
SS2_9,1,"(A,B)","(B,V)","(A,B)","(B,V)"
SS2_10,1,"(B,B)","(A,V)","(B,B)","(A,V)"
SS2_11,1,"(A,V)","(B,C)","(A,V)","(B,C)"
SS2_12,1,"(B,V)","(A,C)","(B,V)","(A,C)"
SS2_1,2,"(B,V)","(A,FG_1)","(B,V)","(A,FG_1)"
SS2_2,2,"(A,V)","(B,FG_3)","(A,V)","(B,FG_3)"
SS2_3,2,"(A,C)","(B,V)","(A,C)","(B,V)"
SS2_4,2,"(B,C)","(A,V)","(B,C)","(A,V)"
SS2_5,2,"(A,V)","(B,A)","(A,V)","(B,A)"
SS2_6,2,"(B,V)","(A,A)","(B,V)","(A,A)"
SS2_7,2,"(A,B)","(B,V)","(A,B)","(B,V)"
SS2_8,2,"(B,B)","(A,V)","(B,B)","(A,V)"
SS2_9,2,"(A,V)","(B,C)","(A,V)","(B,C)"
SS2_10,2,"(B,V)","(A,C)","(B,V)","(A,C)"
SS2_11,2,"(A,A)","(B,V)","(A,A)","(B,V)"
SS2_12,2,"(B,A)","(A,V)","(B,A)","(A,V)"
SS2_1,3,"(A,V)","(B,FG_3)","(A,V)","(B,FG_3)"
SS2_2,3,"(B,V)","(A,V)","(B,V)","(A,V)"
SS2_3,3,"(A,V)","(B,A)","(A,V)","(B,A)"
SS2_4,3,"(B,V)","(A,A)","(B,V)","(A,A)"
SS2_5,3,"(A,B)","(B,V)","(A,B)","(B,V)"
SS2_6,3,"(B,B)","(A,V)","(B,B)","(A,V)"
SS2_7,3,"(A,V)","(B,C)","(A,V)","(B,C)"
SS2_8,3,"(B,V)","(A,C)","(B,V)","(A,C)"
SS2_9,3,"(A,A)","(B,V)","(A,A)","(B,V)"
SS2_10,3,"(B,A)","(A,V)","(B,A)","(A,V)"
SS2_11,3,"(A,V)","(B,B)","(A,V)","(B,B)"
SS2_12,3,"(B,V)","(A,B)","(B,V)","(A,B)"
