ID,Week,PD1,PD2,PD3,PD4
ER17_1,1,"(A,1)","(B,2)","(A,1)","(B,2)"
ER17_2,1,"(B,1)","(A,2)","(B,1)","(A,2)"
ER17_3,1,"(A,2)","(B,1)","(A,2)","(B,1)"
ER17_4,1,"(B,2)","(A,1)","(B,2)","(A,1)"
ER17_5,1,"(A,1)","(B,2)","(A,1)","(B,2)"
ER17_6,1,"(B,1)","(A,2)","(B,1)","(A,2)"
ER17_7,1,"(A,2)","(B,1)","(A,2)","(B,1)"
ER17_8,1,"(B,2)","(A,1)","(B,2)","(A,1)"
ER17_9,1,"(A,1)","(B,2)","(A,1)","(B,2)"
ER17_10,1,"(B,1)","(A,2)","(B,1)","(A,2)"
ER17_11,1,"(A,2)","(B,1)","(A,2)","(B,1)"
ER17_12,1,"(B,2)","(A,1)","(B,2)","(A,1)"
