ID,Week,Day,Choice
ER17_1,1,PD1,1
ER17_1,1,PD1,0
ER17_1,1,PD1,1
ER17_1,1,PD1,1
ER17_1,1,PD1,1
ER17_1,1,PD1,0
ER17_1,1,PD1,1
ER17_1,1,PD1,1
ER17_1,1,PD1,1
ER17_1,1,PD1,0
ER17_1,1,PD1,1
ER17_1,1,PD1,1
ER17_1,1,PD1,1
ER17_1,1,PD1,1
ER17_1,1,PD1,1
ER17_1,1,PD1,1
ER17_2,1,PD1,0
ER17_2,1,PD1,1
ER17_2,1,PD1,1
ER17_2,1,PD1,1
ER17_2,1,PD1,0
ER17_2,1,PD1,0
ER17_2,1,PD1,0
ER17_2,1,PD1,1
ER17_2,1,PD1,0
ER17_2,1,PD1,1
ER17_2,1,PD1,1
ER17_2,1,PD1,1
ER17_2,1,PD1,0
ER17_2,1,PD1,1
ER17_2,1,PD1,1
ER17_2,1,PD1,1
ER17_2,1,PD1,0
ER17_2,1,PD1,0
ER17_2,1,PD1,0
ER17_2,1,PD1,1
ER17_3,1,PD1,0
ER17_3,1,PD1,1
ER17_3,1,PD1,1
ER17_3,1,PD1,1
ER17_3,1,PD1,1
ER17_3,1,PD1,1
ER17_3,1,PD1,0
ER17_3,1,PD1,0
ER17_3,1,PD1,1
ER17_3,1,PD1,1
ER17_3,1,PD1,1
ER17_3,1,PD1,1
ER17_3,1,PD1,1
ER17_3,1,PD1,1
ER17_4,1,PD1,1
ER17_4,1,PD1,0
ER17_4,1,PD1,1
ER17_4,1,PD1,0
ER17_4,1,PD1,1
ER17_4,1,PD1,1
ER17_4,1,PD1,1
ER17_4,1,PD1,1
ER17_4,1,PD1,1
ER17_4,1,PD1,1
ER17_5,1,PD1,1
ER17_5,1,PD1,1
ER17_5,1,PD1,0
ER17_5,1,PD1,1
ER17_5,1,PD1,0
ER17_5,1,PD1,1
ER17_5,1,PD1,0
ER17_5,1,PD1,0
ER17_5,1,PD1,1
ER17_5,1,PD1,1
ER17_5,1,PD1,0
ER17_5,1,PD1,1
ER17_5,1,PD1,1
ER17_5,1,PD1,1
ER17_5,1,PD1,1
ER17_5,1,PD1,1
ER17_5,1,PD1,1
ER17_6,1,PD1,0
ER17_6,1,PD1,0
ER17_6,1,PD1,1
ER17_6,1,PD1,O
ER17_6,1,PD1,0
ER17_6,1,PD1,1
ER17_6,1,PD1,1
ER17_6,1,PD1,1
ER17_6,1,PD1,1
ER17_6,1,PD1,1
ER17_6,1,PD1,1
ER17_7,1,PD1,1
ER17_7,1,PD1,1
ER17_7,1,PD1,0
ER17_7,1,PD1,1
ER17_7,1,PD1,1
ER17_7,1,PD1,1
ER17_7,1,PD1,0
ER17_7,1,PD1,1
ER17_7,1,PD1,1
ER17_7,1,PD1,1
ER17_7,1,PD1,0
ER17_7,1,PD1,1
ER17_7,1,PD1,1
ER17_7,1,PD1,1
ER17_7,1,PD1,1
ER17_7,1,PD1,O
ER17_7,1,PD1,0
ER17_7,1,PD1,1
ER17_7,1,PD1,1
ER17_7,1,PD1,1
ER17_8,1,PD1,1
ER17_8,1,PD1,1
