ID,Choice,Reward
MJ12_1,A,0
MJ12_1,B,0
MJ12_1,B,1
MJ12_1,B,0
MJ12_1,B,0
MJ12_1,B,1
MJ12_1,A,0
MJ12_1,B,0
MJ12_1,B,0
MJ12_1,B,0
MJ12_1,A,0
MJ12_1,B,1
MJ12_1,B,0
MJ12_1,A,1
MJ12_1,B,0
MJ12_1,B,0
MJ12_1,B,0
MJ12_1,B,0
MJ12_1,B,0
MJ12_1,B,0
MJ12_1,B,1
MJ12_1,B,1
MJ12_1,B,0
MJ12_1,A,1
MJ12_1,B,1
MJ12_1,B,0
MJ12_1,B,1
MJ12_1,A,1
MJ12_1,B,1
MJ12_1,A,1
MJ12_1,B,1
MJ12_1,B,0
MJ12_1,A,1
MJ12_1,B,0
MJ12_1,A,1
MJ12_1,A,1
MJ12_1,B,1
MJ12_1,B,1
MJ12_1,A,1
MJ12_1,A,1
MJ12_1,B,1
MJ12_1,A,1
MJ12_1,B,0
MJ12_1,A,1
MJ12_1,B,1
MJ12_1,B,1
MJ12_1,B,0
MJ12_1,B,1
MJ12_1,A,1
MJ12_1,A,1
MJ12_11,B,1
MJ12_11,A,1
MJ12_11,B,0
MJ12_11,A,1
MJ12_11,A,1
MJ12_11,B,0
MJ12_11,A,1
MJ12_11,B,1
MJ12_11,B,1
MJ12_11,A,1
MJ12_11,A,1
MJ12_11,A,0
MJ12_11,A,1
MJ12_11,A,0
MJ12_11,A,1
MJ12_11,A,0
MJ12_11,A,0
MJ12_11,B,1
MJ12_11,A,0
MJ12_11,B,0
MJ12_11,A,1
MJ12_11,A,0
MJ12_11,A,0
MJ12_11,A,0
MJ12_11,B,0
MJ12_11,A,0
MJ12_11,B,1
MJ12_11,A,0
MJ12_11,B,1
MJ12_11,B,0
MJ12_11,B,0
MJ12_11,A,0
MJ12_11,A,0
MJ12_11,B,0
MJ12_11,B,0
MJ12_11,A,0
MJ12_11,B,0
MJ12_11,B,1
MJ12_11,A,0
MJ12_11,B,0
MJ12_11,B,0
MJ12_11,A,1
MJ12_11,B,0
MJ12_11,A,0
MJ12_11,A,0
MJ12_12,A,1
MJ12_12,A,1
MJ12_12,B,0
MJ12_12,A,1
MJ12_12,B,1
MJ12_12,A,0
MJ12_12,A,1
MJ12_12,A,1
MJ12_12,A,1
MJ12_12,A,1
MJ12_12,B,1
MJ12_12,B,0
MJ12_12,B,1
MJ12_12,A,0
MJ12_12,B,1
MJ12_12,A,1
MJ12_12,A,1
MJ12_12,B,1
MJ12_12,A,1
MJ12_12,A,1
MJ12_12,B,1
MJ12_12,A,1
MJ12_12,A,0
MJ12_12,A,1
MJ12_12,B,1
MJ12_12,A,1
MJ12_12,B,0
MJ12_12,A,1
MJ12_12,A,1
MJ12_12,B,1
MJ12_3,A,0
MJ12_3,A,0
MJ12_3,B,1
MJ12_3,A,0
MJ12_3,A,0
MJ12_3,A,1
MJ12_3,A,0
MJ12_3,B,0
MJ12_3,B,0
MJ12_3,B,0
MJ12_3,A,0
MJ12_3,B,1
MJ12_3,B,0
MJ12_3,B,1
MJ12_3,B,0
MJ12_3,B,0
MJ12_3,B,0
MJ12_3,B,1
MJ12_3,B,1
MJ12_3,B,0
MJ12_3,B,1
MJ12_3,B,1
MJ12_3,A,0
MJ12_3,B,1
MJ12_3,B,1
MJ12_3,B,1
MJ12_3,B,1
MJ12_3,B,1
MJ12_3,B,0
MJ12_3,B,1
MJ12_3,B,0
MJ12_3,A,1
MJ12_3,B,1
MJ12_3,B,1
MJ12_3,A,1
MJ12_3,A,1
MJ12_3,B,1
MJ12_3,A,1
MJ12_3,B,1
MJ12_3,A,0
MJ12_3,A,1
MJ12_3,A,1
MJ12_3,B,1
MJ12_3,A,0
MJ12_3,A,1
MJ12_3,B,1
MJ12_3,B,1
MJ12_4,A,0
MJ12_4,B,0
MJ12_4,A,1
MJ12_4,B,0
MJ12_4,B,0
MJ12_4,B,1
MJ12_4,B,0
MJ12_4,B,0
MJ12_4,A,0
MJ12_4,B,0
MJ12_4,B,0
MJ12_4,B,1
MJ12_4,B,0
MJ12_4,B,1
MJ12_4,B,0
MJ12_4,B,1
MJ12_4,B,1
MJ12_4,B,0
MJ12_4,B,1
MJ12_4,B,1
MJ12_4,A,0
MJ12_4,A,1
MJ12_4,B,1
MJ12_4,B,1
MJ12_4,B,1
MJ12_4,A,1
MJ12_4,B,0
MJ12_4,B,1
MJ12_4,B,0
MJ12_4,B,1
MJ12_4,B,1
MJ12_4,B,1
MJ12_4,B,1
MJ12_4,A,1
MJ12_4,A,1
MJ12_4,B,1
MJ12_4,B,1
MJ12_4,B,0
MJ12_4,A,1
MJ12_4,B,1
MJ12_4,A,1
MJ12_4,B,0
MJ12_4,B,1
MJ12_4,B,1
MJ12_4,B,1
MJ12_5,B,0
MJ12_5,A,0
MJ12_5,B,1
MJ12_5,B,0
MJ12_5,A,0
MJ12_5,A,1
MJ12_5,A,0
MJ12_5,B,0
MJ12_5,B,0
MJ12_5,A,0
MJ12_5,B,0
MJ12_5,B,1
MJ12_5,B,0
MJ12_5,B,1
MJ12_5,B,0
MJ12_5,A,0
MJ12_5,B,0
MJ12_5,B,0
MJ12_5,B,0
MJ12_5,B,0
MJ12_5,B,0
MJ12_5,B,0
MJ12_5,A,1
MJ12_5,B,1
MJ12_5,B,0
MJ12_5,B,1
MJ12_5,B,1
MJ12_5,A,0
MJ12_5,B,1
MJ12_5,A,1
MJ12_5,B,1
MJ12_5,B,1
MJ12_5,A,1
MJ12_5,A,0
MJ12_5,B,1
MJ12_5,B,0
MJ12_5,A,1
MJ12_5,B,1
MJ12_5,B,1
MJ12_5,A,1
MJ12_5,B,1
MJ12_6,B,0
MJ12_6,A,0
MJ12_6,B,1
MJ12_6,A,0
MJ12_6,B,0
MJ12_6,A,1
MJ12_6,A,0
MJ12_6,B,0
MJ12_6,B,0
